Id,Выходные данные,Тем. Отдел,Автор,Другие авторы,Заглавие,Год,Иллюстратор,Иллюстрации,Стр.,Место издания,Издательство,Переиздания,Примечания
83.0,"Парунов М.Н., А.В. Кольцов и его песни / Сост. М.Н. Парунов. - Санкт-Петербург : Постоян. комис. нар. чтений, 1874. - 27 с., 4 л. цв. ил. ; 21 см. - (Народные чтения)",Биография лит,"Кольцов, Алексей Васильевич (1809-1842)","Парунов, Михаил Николаевич",Алексей Васильевич Кольцов и его песни,1874.0,,4 ил. цвет. ,27 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,В 1-м и 4-м изд. на обл. сост. не указан
84.0,"Рождественский С.Е., О Суворове : Чтение для народа / [Соч.] С. Рождественского. - 7-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1900. - 44 с. : портр. ; 21 см",Биография,"Рождественский, Сергей Егорович (1834-1891)",,О Суворове,1900.0,,1 ил. портрет,44 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,7-е изд.,
85.0,"Вердеревская С.А., О Голландии и голландцах / [Соч.] [С.А. Вердеревской]. - 4-е изд., (25-30 тыс.). - [Санкт-Петербург : Постоян. комис. нар. чтений, 1908]. - 32 с. ; 18 см",География и путешествия,"Вердеревская, С.А.",,О Голландии и голландцах,1908,,,32 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,4-е изд. 25-30 тыс.,На обл.: № 82
86.0,"Сутулов С.Е., О семенах, посеве их, уходе за хлебными растениями и их уборке / [Соч.] С.Е. Сутулова; Под ред. А.Ф. Соколова. - Санкт-Петербург : Постоян. комис. нар. чтений, 1902. - 47 с. ; 19 см. - (Народные чтения)",Естествознание,"Сутулов, С.Е.",Редактор - Соколов А.Ф.,"О семенах, посеве их, уходе за хлебными растениями и их уборке",1902.0,,,47 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,На обл. авт. не указан
87.0,"Четыркин Ф.В., Святый Григорий Богослов / Сост. Ф. Четыркин. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1889. - 20 с., 1 л. ил",Духовное просвещение,"Четыркин, Федор Васильевич (1840-1904)",,Святый Григорий Богослов,1889.0,,,20 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,
88.0,"Филонов А. Г., Гавриил Романович Державин : [Очерк] / [Соч.] А. Филонова. - 2-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1904. - 32 с. : портр. ; 18 см",Биография лит,"Филонов, Андрей Григорьевич (1831-1908) ",,Гавриил Романович Державин : Очерк,1904.0,,1 ил. портрет,32 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,2-е изд.,
89.0,"Николай Алексеевич Некрасов / Сост. К.П.М.; Под ред. Вс.С. Соловьева. - Санкт-Петербург : Постоян. комис. нар. чтений, 1900. - 44 с., 1 л. фронт. (портр.) ; 19 см. - (Народные чтения)",Биография лит,,Редактор - Соловьев Вс.С.; Сост. К.П.М.,Николай Алексеевич Некрасов,1900.0,,1 ил. портрет,44 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
90.0,"Хрущов И.П., Богомольцы у святынь Киева : Старый Киев : С точн. изобр. пресвятой Богородицы ""Нерушимая стена"", исполн. красками и золотом. - 2-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1885. - 48 с., 1 л. ил. - (Народные чтения)",Духовное просвещение,"Хрущов, Иван Петрович (1841-1904)",,"Богомольцы у святынь Киева : Старый Киев : С точн. изобр. пресвятой Богородицы ""Нерушимая стена"", исполн. красками и золотом",1885.0,,,48 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,2-е изд.,С 3-го изд. надзаг. на обл. отсутствует
91.0,"Царствование Алексея Михайловича : [Исторический очерк]. - 4-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1901. - 36 с. ; 18 см",История,,,Царствование Алексея Михайловича : Исторический очерк,1901.0,,,36 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,4-е изд.,На тит. л.: № 37
92.0,"Макарова С.М., Как и чему учил Петр Великий народ свой / [Соч.] С.М. Макаровой; Под ред. В.В. Федорова. - 6-е изд., 43-50 тыс. - Санкт-Петербург : Постоян. комис. нар. чтений, 1911. - 56 с. : ил., портр. ; 18 см",История,"Макарова, София Марковна (1834-1887)",Редактор - Федоров В.В.,Как и чему учил Петр Великий народ свой,1911.0,,1 ил. портрет,56 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,6-е изд. 43-50 тыс.,На обл.: № 112
93.0,"Петров И.И., О смутном времени на Руси : Два чтения: 1. Убиение царевича Димитрия и что последовало за кончиной царя Феодора Иоанновича. 2. Народное ополчение на защиту отечества и как русские люди выбрали царем Михаила Феодоровича Романова / Изложил И.И. Петров. - 6-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1901. - 69 с., 2 л. ил. ; 18 см. - (Чтение для народа)",История,"Петров, Иван Иванович (1861-)",,О смутном времени на Руси : Два чтения: 1. Убиение царевича Димитрия и что последовало за кончиной царя Феодора Иоанновича. 2. Народное ополчение на защиту отечества и как русские люди выбрали царем Михаила Феодоровича Романова,1901.0,,2 ил. ,69 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,6-е изд.,Загл. обл.: Смутное время на Руси
94.0,"Азбелев И.П., Об Индии и индусах / И. Азбелев. - [Санкт-Петербург] : Постоян. комис. по устройству нар. чтений, 1890. - 34 с. ; 18 см",География и путешествия,"Азбелев, Иван Павлович (1862-1931)",,Об Индии и индусах,1890.0,,,34 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,На обл. авт. не указан
95.0,"Оптинский старец Амвросий / Под ред. прот. И.Г. Покровского. - Санкт-Петербург : Постоян. комис. нар. чтений, 1902. - 24 с., 1 л. фронт. (портр.). - (Народные чтения)",Духовное просвещение,,Редактор - прот. Покровский И.Г.,Оптинский старец Амвросий,1902.0,,,24 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
96.0,"Вердеревская С.А., Китай : [Очерк] / [Соч.] С. Вердеревской. - 3-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1898. - 31 с. ; 19 см",География и путешествия,"Вердеревская, С.А.",,Китай : Очерк,1898.0,,,31 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,3-е изд.,На обл. авт. не указан
97.0,"Петров И.И., О смутном времени на Руси : Два чтения: 1. Убиение царевича Димитрия и что последовало за кончиной царя Феодора Иоанновича. 2. Народное ополчение на защиту отечества и как русские люди выбрали царем Михаила Феодоровича Романова / Изложил И.И. Петров. - [10-е изд.]. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1913. - 80 с. : ил. ; 18 см. - (Чтение для народа)",История,"Петров, Иван Иванович (1861-)",,О смутном времени на Руси : Два чтения: 1. Убиение царевича Димитрия и что последовало за кончиной царя Феодора Иоанновича. 2. Народное ополчение на защиту отечества и как русские люди выбрали царем Михаила Феодоровича Романова,1913.0,,ил. ,80 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,10-е изд.,Загл. обл.: Смутное время на Руси
98.0,"Плечко А.М., Московский Кремль. 1 2, Святыни Кремля Дворцы, палаты и другие достопримечательности / А.М. Плечко : Два чтения. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1889. - 58 с. ; 19 см. - (Народные чтения)",Духовное просвещение,"Плечко, Агриппина Михайловна",,"Московский Кремль. 1 2, Святыни Кремля Дворцы, палаты и другие достопримечательности / А.М. Плечко : Два чтения",1889.0,,,58 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,На обл. авт. не указан
99.0,"Елачич Е.А., ... Три очерка из жизни природы : С 29 рис. в тексте / Евгений Елачич. - Санкт-Петербург : Постоян. комис. нар. чтений, 1909. - 56 с. : ил. ; 24 см",Естествознание,"Елачич, Евгений Александрович (1880-1945)",,Три очерка из жизни природы : С 29 рис. в тексте,1909.0,,ил. ,56 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,На обл.: № 263
100.0,"Императрица Екатерина II Великая. - 2-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1891. - 39 с., 3 л. ил. ; 19 см",Биография,,,Императрица Екатерина II Великая,1891.0,,3 ил.,39 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,2-е изд.,
101.0,"Япония : [Очерк]. - Санкт-Петербург : Постоян. комис. нар. чтений, 1897. - 36 с., 1 л. карт. ; 18 см",География и путешествия,,,Япония : Очерк,1897.0,,1 ил. карта ,36 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
102.0,"Сеткова А.П., Братья, или Деревенское семейное дело : Рассказ Сетковой (Катенкамп). - 5-е изд. - Санкт-Петербург : на средства Изд. о-ва Постоян. комис. по устройству нар. чтений, 1909. - 32 с. : ил. ; 14 см. - (Народные чтения ; № 184)",Беллетристика,"Сеткова, Александра Пантелеймоновна (1834-)",,"Братья, или Деревенское семейное дело : Рассказ",1909.0,,ил. ,32 с.,Санкт-Петербург ,На средства Изд. о-ва Постоян. комис. по устройству нар. чтений,5-е изд.,
103.0,"Николай Васильевич Гоголь / Под ред. Вс.С. Соловьева. - Санкт-Петербург : Постоян. комис. нар. чтений, 1901. - 32 с. : фронт. (портр.) ; 18 см. - (Народные чтения)",Биография лит,,Редактор - Соловьев Вс. С.,Николай Васильевич Гоголь,1901.0,,1 ил. портрет,32 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
104.0,"Максимов С. В., Соловецкий монастырь / [Соч.] С. Максимова. - Санкт-Петербург : Постоян. комис. нар. чтений, 1872. - 26 с., 10 л. ил. - (Народные чтения . Святые места Русской земли)",Духовное просвещение,"Максимов, Сергей Васильевич (писатель , 1831-1901) ",,Соловецкий монастырь,1872.0,,,26 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,В 4-м и 5-м изд. надзаг.: Святые места Земли Русской
105.0,"Макарова С.М., Как и чему учил Петр Великий народ свой / [Соч.] С.М. Макаровой; Под ред. В.В. Федорова. - 5-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1905. - 56 с. : ил., портр. ; 18 см",История,"Макарова, София Марковна (1834-1887)",Редактор - Федоров В.В.,Как и чему учил Петр Великий народ свой,1905.0,,1 ил. портрет,56 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,5-е изд.,
106.0,"Протасов А.П., Как беречь глаза / [Соч.] А.П. Протасова; Под ред. А.Ф. Соколова. - Санкт-Петербург : Постоян. комис. нар. чтений, 1904. - 48 с. : ил. ; 18 см. - (Народные чтения)",Медицина,"Протасов, Александр Петрович",Редактор - Соколов А.Ф.,Как беречь глаза,1904.0,,ил. ,48 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,На обл. авт. не указан
107.0,"Мертваго Д.Ф., Корея и ее жители. (Запретная страна) / [Соч.] Ген.-лейт. Д.Ф. Мертваго. - Санкт-Петербург : Постоян. комис. нар. чтений, 1904. - 31 с. : карт. ; 17 см. - (Народные чтения)",География и путешествия,"Мертваго, Дмитрий Федорович (1841-)",,Корея и ее жители. (Запретная страна),1904.0,,1 ил. карта ,31 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,На обл. авт. не указан
108.0,"Вердеревская С.А., О Голландии и голландцах / [Соч.] С.А. Вердеревской. - 2-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1893. - 34 с. ; 19 см",География и путешествия,"Вердеревская, С.А.",,О Голландии и голландцах,1893.0,,,34 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,2-е изд.,На обл. авт. не указан
109.0,"Гориневский В.В., О холере : Нар. чтение д-ра В.В. Гориневского. - [6-е изд., пересмотр. и доп.], 66-75 тыс. - Санкт-Петербург : Постоян. комис. нар. чтений, 1914. - 56 с. : ил. ; 18 см",Медицина,"Гориневский, Валентин Владиславович (1857-1937)",,О холере,1914.0,,ил. ,56 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,6-е изд. 66-75 тыс.,На обл. номер изд.: № 214
110.0,"Пушкин А.С., Капитанская дочка : Повесть А.С. Пушкина : Приспособлена к чтению в нар. аудиториях. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1887. - 99 с., 2 л. ил. ; 19 см. - (Народное чтение)",Беллетристика,"Пушкин, Александр Сергеевич (1799-1837) ",,Капитанская дочка : Повесть,1887.0,,2 ил. ,99 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,
111.0,"Платонова А.Ф., На рассвете : (Рассказ из жизни христиан) / Сост. А.Ф. Платонова. - Санкт-Петербург : Постоян. комис. нар. чтений, 1913. - 40 с. ; 19 см",Беллетристика,"Платонова, Александра Федоровна",,На рассвете : Рассказ из жизни христиан,1913.0,,,40 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,На обл.: № 296
112.0,"Гоголь Н. В., Тарас Бульба : Ист. повесть Н.В. Гоголя (в пересказе для народных чтений) / Под ред. Вс.С. Соловьева. - 4-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1901. - 59 с. ; 18 см. - (Народные чтения)",Беллетристика,"Гоголь, Николай Васильевич (1809-1852) ",Редактор - Соловьев Вс. С.,Тарас Бульба : Историческая повесть ,1901.0,,,59 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,4-е изд.,
113.0,"Овсянников А.Н., Урал и его природа, обитатели и промышленность / [Соч.] А.Н. Овсянникова. - 4-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1909. - 31 с. ; 18 см",География и путешествия,"Овсянников, Александр Николаевич (1842-1899)",,"Урал и его природа, обитатели и промышленность",1909.0,,,31 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,4-е изд.,На обл. авт. не указан
114.0,"Жданов Л.Г., Движение России на Дальний Восток : (К берегам Великого океана) / [Соч.] Льва Жданова. - [11-я тыс.]. - Санкт-Петербург : Постоян. комис. нар. чтений, 1904. - 80 с. ; 18 см. - (Народные чтения)",География и путешествия,"Жданов, Лев Григорьевич (1864-1951) ",,Движение России на Дальний Восток : (К берегам Великого океана),1904.0,,,80 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,11 тыс.,
115.0,"Правда о хмельном зелье. - Санкт-Петербург : Постоян. комис. нар. чтений, 1898. - 34 с. ; 18 см",Медицина,,,Правда о хмельном зелье,1898.0,,,34 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
116.0,"Беседа о Пастере. - Санкт-Петербург : На средства Изд. о-ва при Постоян. комис. нар. чтений, 1897. - 35 с. : ил. ; 18 см",Духовное просвещение,,,Беседа о Пастере,1897.0,,ил. ,35 с.,Санкт-Петербург ,На средства Изд. о-ва при Постоян. комис. нар. чтений,,
117.0,"Пушкин А. С., ... Цыганы : (Отрывок для нар. чтений) / А.С. Пушкин; (Под ред. В.В. Федорова). - Юбил. изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1899. - 12 с., 1 л. фронт. (портр.) ; 18 см. - (Народные чтения)",Беллетристика,"Пушкин, Александр Сергеевич (1799-1837) ","Редактор - Федоров, В.В.",Цыганы : Отрывок для нар. чтений,1899.0,"Иллюстратор - Каразин, Николай Николаевич (1842-1908); Райт ",1 ил. портрет,12 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,Юбилейное изд.,"Обл.: Н. Каразин. Портр. типа Райта, грав. на дер."
118.0,"Буш Н.А., Как в степях лес разводить и для чего это нужно / [Соч.] Н. Буша. - 2-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1902. - 33 с. : ил. ; 18 см. - (О русском лесе ; Чтение 2)",Общественное устройство,"Буш, Николай Адольфович (1869-1941)",,Как в степях лес разводить и для чего это нужно,1902.0,,ил. ,33 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,2-е изд.,На обл. авт. не указан
119.0,"Казачковский Н., Новый священник : [Рассказ очевидца] / Сост. Н. Казачковский. - Санкт-Петербург : Постоян. комис. нар. чтений, [1910]. - 13, [3] с. ; 18 см",Беллетристика,"Казачковский, Н.",,Новый священник : Рассказ очевидца,1910.0,,,"13, [3] с.",Санкт-Петербург ,Постоян. комис. нар. чтений ,,На тит. л.: № 272
120.0,"Сеткова А.П., Роковой клад : Повесть / [Соч.] А. Сетковой (Катенкамп). - 4-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений (на средства Изд. о-ва), 1894. - 67 с., 1 л. фронт. (ил.) ; 18 см. - (Народные чтения)",Беллетристика,"Сеткова, Александра Пантелеймоновна (1834-)",,Роковой клад : Повесть,1894.0,,1 ил.,67 с.,Санкт-Петербург ,На средства Изд. о-ва Постоян. комис. по устройству нар. чтений,4-е изд.,
121.0,"О жизни и подвигах Иннокентия, архиепископа Камчатского, Курильского и Алеутского, в последствии митрополита Московского : Сост. по кн. И.П. Барсукова. - 2-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1889. - 36 с., 1 л. портр",Духовное просвещение,,,"О жизни и подвигах Иннокентия, архиепископа Камчатского, Курильского и Алеутского, в последствии митрополита Московского : Сост. по кн. И.П. Барсукова",1889.0,,,36 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,2-е изд.,
122.0,"Абиссиния, христианская страна в Африке. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1894. - 31 с., 1 л. карт. ; 17 см",География и путешествия,,,"Абиссиния, христианская страна в Африке",1894.0,,1 ил. карта ,31 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,Загл. обл.: Абиссиния
123.0,"Кочетов А.И., Петр Павлович Ершов и его сказка ""Конек-Горбунок"" в [сокращенном] пересказе : С портр. авт. и 10 рис. в тексте / [Сост. А. Кочетов]. - Санкт-Петербург : Постоян. комис. нар. чтений, 1907. - 59 с. : ил. ; 24 см",Беллетристика,"Ершов, Петр Павлович","Кочетов, Александр Иоакимович","Петр Павлович Ершов и его сказка ""Конек-Горбунок"" в  пересказе",1907.0,,10 ил. и портрет,59 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,На тит. л.: № 238
124.0,"Абиссиния, христианская страна в Африке. - 2-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1903. - 31 с., 1 л. карт. ; 18 см",География и путешествия,,,"Абиссиния, христианская страна в Африке",1903.0,,1 ил. карта ,31 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,2-е изд.,Экземпляр РНБ (18.262.7.288): утрачен
125.0,"Толстой А.К., Иоанн Дамаскин : Выдержки из поэмы гр. Алексея Толстого. - 5-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1900. - 24 с. ; 18 см. - (Народные чтения)",Беллетристика,"Толстой, Алексей Константинович (1817-1875)",,Иоанн Дамаскин : Выдержки из поэмы гр. Алексея Толстого,1900.0,,,24 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,5-е изд.,
126.0,"Сеткова А.П., Роковой клад : Повесть / [Соч.] А. Сетковой (Катенкамп). - Санкт-Петербург : Постоян. комис. по устройству нар. чтений (на средства Изд. о-ва), 1883. - 69 с., 1 л. фронт. (ил.) ; 18 см. - (Народные чтения)",Беллетристика,"Сеткова, Александра Пантелеймоновна (1834-)",,Роковой клад : Повесть,1883.0,,1 ил.,69 с.,Санкт-Петербург ,На средства Изд. о-ва Постоян. комис. по устройству нар. чтений,,
127.0,"Сеткова А.П., Старик Никита и его три дочери : [Рассказ] / [Соч.] А. Сетковой (Катенкамп). - 5-е изд. - Санкт-Петербург : на средства Изд. о-ва Постоян. комис. по устройству нар. чтений, 1901. - 46 с., 1 л. фронт. (ил.) ; 18 см. - (Народные чтения)",Беллетристика,"Сеткова, Александра Пантелеймоновна (1834-)",,Старик Никита и его три дочери : Рассказ,1901.0,,1 ил.,46 с.,Санкт-Петербург ,На средства Изд. о-ва Постоян. комис. по устройству нар. чтений,5-е изд.,На обл. авт. не указан
128.0,"Четыркин Ф.В., Платон митрополит Московский / Сост. Ф.В. Четыркин. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1892. - 32 с., 1 л. портр. ; 18 см",Духовное просвещение,"Четыркин, Федор Васильевич (1840-1904)",,Платон митрополит Московский,1892.0,,1 ил. портрет,32 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,
129.0,"Великий немецкий поэт Фридрих Шиллер : [Биогр. очерк]. - Санкт-Петербург : Постоян. комис. нар. чтений, 1913. - 43 с. : портр. ; 17 см",Биография лит,,,Великий немецкий поэт Фридрих Шиллер : Биогр. очерк,1913.0,,1 ил. портрет,43 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,На обл.: № 293
130.0,"Семья Аксаковых / Под ред. прот. А.А. Дернова. - Санкт-Петербург : Постоян. комис. нар. чтений, 1904. - 64 с. ; 18 см. - (Народные чтения)",Биография лит,,Редактор - прот. Дернов А.А.,Семья Аксаковых,1904.0,,,64 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
131.0,"Гоголь Н.В., Тарас Бульба : Повесть Н.В. Гоголя (в пересказе для народных чтений) / Под ред. Вс. С. Соловьева. - 5-е изд. 43-46 тыс. - Санкт-Петербург : Постоян. комис. нар. чтений, 1907. - 56 с. ; 18 см. - (Народные чтения)",Беллетристика,"Гоголь, Николай Васильевич (1809-1852) ",Редактор - Соловьев Вс. С.,Тарас Бульба : Историческая повесть ,1907.0,,,56 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,5-е изд. 43-46 тыс.,
132.0,"Федор Михайлович Достоевский : [Биогр. очерк] / Сост. К.П.М.; Под ред. Вс.С. Соловьева. - Санкт-Петербург : Постоян. комис. нар. чтений, 1900. - 38 с., 1 л. фронт. (портр.) ; 19 см. - (Народные чтения)",Биография лит,,Редактор - Соловьев Вс.С.; Сост. К.П.М.,Федор Михайлович Достоевский : Биогр. очерк,1900.0,,1 ил. портрет,38 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
133.0,"Алмазов Б.Н., Отшельник : Алексий человек божий : [Стихотворение] / [Соч.] Бориса Алмазова. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1887. - 23 с. ; 18 см",Беллетристика,"Алмазов, Борис Николаевич (1827-1876)",,Отшельник (Алексий человек божий) : Стихотворение,1887.0,,,23 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,
134.0,"Коринфский А.А., Певец русской природы и старины Аполлон Коринфский и его стихотворения. - Санкт-Петербург : Постоян. комис. нар. чтений, 1912. - 64 с. ; 17 см",Биография лит,"Коринфский, Аполлон Аполлонович (1868-1937)",,Певец русской природы и старины Аполлон Коринфский и его стихотворения,1912.0,,,64 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
135.0,"Мореход Никитин : Пересказ повести Марлинского. - 3-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1893. - 28 с. : ил. ; 15 см",Беллетристика,"Бестужев-Марлинский, Александр Александрович (1797-1837) ",,Мореход Никитин : Пересказ повести Марлинского,1893.0,,ил. ,28 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,3-е изд.,
136.0,"Полилов Г.Т., Крепость ""Низовая"" : Эпизод из Кавк. войны / Г. Северцев-Полилов. - Санкт-Петербург : Постоян. комис. нар. чтений, 1913. - 44 с. ; 18 см",История,"Полилов, Георгий Тихонович (1859-1915)",,"Крепость ""Низовая"" : Эпизод из Кавк. войны",1913.0,,,44 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,На обл.: № 291
137.0,"Баралевский В.М., Восточные окраины Русского царства : Камчатка, Амур, Уссури : С карт. Вост. Сибири / Сост. В. Баралевский. - 2-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1901. - 42, [1] с., 1 л. карт. ; 18 см",География и путешествия,"Баралевский, Василий Михайлович",,"Восточные окраины Русского царства : Камчатка, Амур, Уссури : С карт. Вост. Сибири",1901.0,,1 ил. карта ,"42, [1] с.",Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,2-е изд.,
138.0,"Овсянников А.Н., Ладожское озеро / [Соч.] А.Н. Овсянникова. - 3-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1899. - 34 с., 1 л. карт. ; 18 см. - (Народные чтения)",География и путешествия,"Овсянников, Александр Николаевич (1842-1899)",,Ладожское озеро,1899.0,,1 ил. карта ,34 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,3-е изд.,На обл. авт. не указан
139.0,"Москва. - Санкт-Петербург : Постоян. комис. нар. чтений, 1899. - 92 с., 1 план. ; 17 см. - (Народные чтения)",География и путешествия,,,Москва,1899.0,,1 ил. план ,92 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
140.0,"О жизни и подвигах Иннокентия, архиепископа Камчатского, Курильского и Алеутского, в последствии митрополита Московского : Сост. по кн. И.П. Барсукова. - 4-е изд. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1897. - 36 с., 1 л. фронт. (портр.)",Духовное просвещение,,,"О жизни и подвигах Иннокентия, архиепископа Камчатского, Курильского и Алеутского, в последствии митрополита Московского : Сост. по кн. И.П. Барсукова",1897.0,,,36 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,4-е изд.,
141.0,"Крым : [Краткий очерк]. - 2-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1898. - 43 с. ; 19 см",География и путешествия,,,Крым : Краткий очерк,1898.0,,,43 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,2-е изд.,Загл. обл.: Чтение о Крыме
142.0,"Императрица Екатерина II Великая. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1886. - 64 с., 1 л. ил. ; 19 см",Биография,,,Императрица Екатерина II Великая,1886.0,,1 ил.,64 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,Содерж.: Чтение 1. Как Екатерина Великая правила землей Русской. Чтение 2. Сподвижники царствования Екатерины и личность ее
143.0,"Иван Саввич Никитин : [Биографический очерк]. - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1896. - 35 с., 1 л. портр. ; 18 см. - (Чтение для народа)",Биография лит,,,Иван Саввич Никитин : Биографический очерк,1896.0,,1 ил. портрет,35 с.,Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,
144.0,"Парунов М.Н., А.В. Кольцов и его песни : С изображением памятника Кольцову в Воронеже / Сост. М.Н. Парунов. - 3-е изд. - Санкт-Петербург : Постоян. комис. нар. чтений, 1884. - 38 с., 1 л. ил. ; 21 см",Биография лит,"Кольцов, Алексей Васильевич (1809-1842)","Парунов, Михаил Николаевич",Алексей Васильевич Кольцов и его песни,1884.0,,1 ил.,38 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,3-е изд.,С изображением памятника Кольцову в Воронеже
145.0,"Жизнь моря / Под ред. А.Ф. Соколова. - Санкт-Петербург : Постоян. комис. нар. чтений, 1902. - 28 с. ; 18 см. - (Народные чтения)",Естествознание,,Редактор - Соколов А.Ф.,Жизнь моря,1902.0,,,28 с.,Санкт-Петербург ,Постоян. комис. нар. чтений ,,
146.0,"Пушкин А.С., Полтава : (Поэма А.С. Пушкина в сокр. и пересказе [Эм. Кислинской]). - Санкт-Петербург : Постоян. комис. по устройству нар. чтений, 1886. - 34, [1] с., 1 л. ил. ; 18 см",Беллетристика,"Пушкин, Александр Сергеевич (1799-1837) ",Пересказчик и составитель - Кислинская Эм. ,Полтава : Поэма ,1886.0,,1 ил.,"34, [1] с.",Санкт-Петербург ,Постоян. комис. по устройству нар. чтений,,
